#HEADER:Level,LevelCategory,AreaCode,AreaName
0,PROVINSI,1,ACEH
1,KABUPATEN/KOTA,2,ACEH SELATAN
2,KECAMATAN,3,BAKONGAN
2,KECAMATAN,248,KOTA BAHAGIA
2,KECAMATAN,236,LABUHAN HAJI TIMUR
2,KECAMATAN,222,LABUHAN HAJI BARAT
2,KECAMATAN,212,TRUMON TIMUR
2,KECAMATAN,204,KLUET TIMUR
2,KECAMATAN,190,KLUET TENGAH
2,KECAMATAN,182,BAKONGAN TIMUR
2,KECAMATAN,161,PASIE RAJA
2,KECAMATAN,148,TRUMON
2,KECAMATAN,132,TAPAKTUAN
2,KECAMATAN,116,SAWANG
2,KECAMATAN,87,SAMADUA
2,KECAMATAN,64,MEUKEK
2,KECAMATAN,47,LABUHAN HAJI
2,KECAMATAN,29,KLUET SELATAN
2,KECAMATAN,9,KLUET UTARA
2,KECAMATAN,259,TRUMON TENGAH
1,KABUPATEN/KOTA,269,ACEH TENGGARA
2,KECAMATAN,270,LAWE ALAS
2,KECAMATAN,632,TANOH ALAS
2,KECAMATAN,613,LAWE SUMUR
2,KECAMATAN,590,DELENG POKHKISEN
2,KECAMATAN,564,KETAMBE
2,KECAMATAN,536,BABUL RAHMAH
2,KECAMATAN,516,SEMADAM
2,KECAMATAN,492,BUKIT TUSAM
2,KECAMATAN,467,LAWE BULAN
2,KECAMATAN,438,DARUL HASANAH
2,KECAMATAN,416,BABUL MAKMUR
2,KECAMATAN,397,BADAR
2,KECAMATAN,369,BABUSSALAM
2,KECAMATAN,335,BAMBEL
2,KECAMATAN,647,LEUSER
1,KABUPATEN/KOTA,671,ACEH TIMUR
2,KECAMATAN,672,DARUL AMAN
2,KECAMATAN,1037,IDI TUNONG
2,KECAMATAN,1063,BANDA ALAM
2,KECAMATAN,1080,PEUDAWA
2,KECAMATAN,1098,PEUREULAK TIMUR
2,KECAMATAN,1119,PEUREULAK BARAT
2,KECAMATAN,1135,SUNGAI RAYA
2,KECAMATAN,1149,SIMPANG JERNIH
2,KECAMATAN,1158,DARUL IHSAN
2,KECAMATAN,1175,DARUL FALAH
2,KECAMATAN,1187,IDI TIMUR
2,KECAMATAN,1023,INDRA MAKMU
2,KECAMATAN,996,MADAT
2,KECAMATAN,718,JULOK
2,KECAMATAN,756,IDI RAYEUK
2,KECAMATAN,792,BIREM BAYEUN
2,KECAMATAN,820,SERBAJADI
2,KECAMATAN,838,NURUSSALAM
2,KECAMATAN,870,PEUREULAK
2,KECAMATAN,909,RANTAU SELAMAT
2,KECAMATAN,924,SIMPANG ULIM
2,KECAMATAN,948,RANTAU PEUREULAK
2,KECAMATAN,972,PANTE BIDARI
2,KECAMATAN,1201,PEUNARON
1,KABUPATEN/KOTA,1207,ACEH TENGAH
2,KECAMATAN,1208,LINGE
2,KECAMATAN,1459,CELALA
2,KECAMATAN,1440,KUTE PANANG
2,KECAMATAN,1420,KEBAYAKAN
2,KECAMATAN,1394,KETOL
2,KECAMATAN,1386,JAGONG JEGET
2,KECAMATAN,1362,BINTANG
2,KECAMATAN,1332,PEGASING
2,KECAMATAN,1322,ATU LINTANG
2,KECAMATAN,1307,RUSIP ANTARA
2,KECAMATAN,1295,BIES
2,KECAMATAN,1267,BEBESEN
2,KECAMATAN,1233,SILIH NARA
2,KECAMATAN,1476,LAUT TAWAR
1,KABUPATEN/KOTA,1492,ACEH BARAT
2,KECAMATAN,1493,JOHAN PAHWALAN
2,KECAMATAN,1778,WOYLA TIMUR
2,KECAMATAN,1753,WOYLA BARAT
2,KECAMATAN,1726,MEUREUBO
2,KECAMATAN,1700,PANTE CEUREUMEN
2,KECAMATAN,1672,ARONGAN LAMBALEK
2,KECAMATAN,1654,BUBON
2,KECAMATAN,1621,SAMATIGA
2,KECAMATAN,1577,WOYLA
2,KECAMATAN,1559,SUNGAI MAS
2,KECAMATAN,1515,KAWAY XVI
2,KECAMATAN,1804,PANTON REU
1,KABUPATEN/KOTA,1824,ACEH BESAR
2,KECAMATAN,1825,LHOONG
2,KECAMATAN,2294,KOTA JANTHO
2,KECAMATAN,2308,KOTA COT GLIE
2,KECAMATAN,2341,KUTA MALAKA
2,KECAMATAN,2357,SIMPANG TIGA
2,KECAMATAN,2376,DARUL KAMAL
2,KECAMATAN,2391,BAITUSSALAM
2,KECAMATAN,2418,LEUPUNG
2,KECAMATAN,2263,PULO ACEH
2,KECAMATAN,2233,DARUSSALAM
2,KECAMATAN,2185,KUTA BARO
2,KECAMATAN,1854,LHOKNGA
2,KECAMATAN,1883,INDRAPURI
2,KECAMATAN,1936,SEULIMEUM
2,KECAMATAN,1984,MONTASIK
2,KECAMATAN,2024,SUKAMAKMUR
2,KECAMATAN,2060,DARUL IMARAH
2,KECAMATAN,2093,PEUKAN BADA
2,KECAMATAN,2120,MESJID RAYA
2,KECAMATAN,2134,INGIN JAYA
2,KECAMATAN,2425,BLANG BINTANG
1,KABUPATEN/KOTA,2452,PIDIE
2,KECAMATAN,2453,BATEE
2,KECAMATAN,2929,SAKTI
2,KECAMATAN,2979,SIMPANG TIGA
2,KECAMATAN,3032,TANGSE
2,KECAMATAN,3081,KEUMALA
2,KECAMATAN,3099,MUTIARA TIMUR
2,KECAMATAN,3164,MANE
2,KECAMATAN,3169,GLUMPANG BARO
2,KECAMATAN,2864,PIDIE
2,KECAMATAN,2815,PEUKAN BARO
2,KECAMATAN,2750,PADANG TIJI
2,KECAMATAN,2482,DELIMA
2,KECAMATAN,2527,GEUMPANG
2,KECAMATAN,2533,GEULUMPANG TIGA
2,KECAMATAN,2568,INDRA JAYA
2,KECAMATAN,2618,KEMBANG TANJONG
2,KECAMATAN,2664,KOTA SIGLI
2,KECAMATAN,2680,MILA
2,KECAMATAN,2701,MUARA TIGA
2,KECAMATAN,2720,MUTIARA
2,KECAMATAN,3191,TITEUE
1,KABUPATEN/KOTA,3205,ACEH UTARA
2,KECAMATAN,3206,BAKTIYA
2,KECAMATAN,3837,NISAM
2,KECAMATAN,3867,COT GIREK
2,KECAMATAN,3892,LANGKAHAN
2,KECAMATAN,3916,BAKTIYA BARAT
2,KECAMATAN,3943,PAYA BAKONG
2,KECAMATAN,3983,NIBONG
2,KECAMATAN,4004,SIMPANG KRAMAT
2,KECAMATAN,4021,LAPANG
2,KECAMATAN,4033,PIRAK TIMUR
2,KECAMATAN,4057,GEUREDONG PASE
2,KECAMATAN,4069,BANDA BARO
2,KECAMATAN,3797,SAWANG
2,KECAMATAN,3730,TANAH PASIR
2,KECAMATAN,3264,DEWANTARA
2,KECAMATAN,3280,KUTA MAKMUR
2,KECAMATAN,3320,LHOKSUKON
2,KECAMATAN,3397,MATANGKULI
2,KECAMATAN,3447,MUARA BATU
2,KECAMATAN,3472,MEURAH MULIA
2,KECAMATAN,3523,SAMUDERA
2,KECAMATAN,3564,SEUNUDDON
2,KECAMATAN,3598,SYAMTALIRA ARON
2,KECAMATAN,3633,SYAMTALIRA BAYU
2,KECAMATAN,3672,TANAH LUAS
2,KECAMATAN,4079,NISAM ANTARA
1,KABUPATEN/KOTA,4086,SIMEULUE
2,KECAMATAN,4087,SIMEULUE TENGAH
2,KECAMATAN,83455,TEUPAH TENGAH
