#HEADER:ProvinceCode,ProvinceName,KabupatenCode,KabupatenName,KecamatanCode,KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
1,ACEH,2,ACEH SELATAN,236,LABUHAN HAJI TIMUR,0,0,0
1,ACEH,2,ACEH SELATAN,3,BAKONGAN,0,0,0
1,ACEH,2,ACEH SELATAN,248,KOTA BAHAGIA,1172,1389,2561
1,ACEH,2,ACEH SELATAN,204,KLUET TIMUR,2552,1689,4241
1,ACEH,2,ACEH SELATAN,222,LABUHAN HAJI BARAT,3584,3200,6784
1,ACEH,2,ACEH SELATAN,148,TRUMON,950,1174,2124
1,ACEH,2,ACEH SELATAN,132,TAPAKTUAN,7752,3401,11153
1,ACEH,2,ACEH SELATAN,212,TRUMON TIMUR,0,0,0
1,ACEH,2,ACEH SELATAN,182,BAKONGAN TIMUR,1027,1230,2257
1,ACEH,2,ACEH SELATAN,190,KLUET TENGAH,0,0,0
1,ACEH,2,ACEH SELATAN,87,SAMADUA,6333,2476,8809
1,ACEH,2,ACEH SELATAN,161,PASIE RAJA,3470,2925,6395
1,ACEH,2,ACEH SELATAN,64,MEUKEK,5016,3676,8692
1,ACEH,2,ACEH SELATAN,29,KLUET SELATAN,2779,3259,6038
1,ACEH,2,ACEH SELATAN,259,TRUMON TENGAH,0,0,0
1,ACEH,2,ACEH SELATAN,116,SAWANG,4676,2743,7419
1,ACEH,269,ACEH TENGGARA,590,DELENG POKHKISEN,0,0,0
1,ACEH,269,ACEH TENGGARA,270,LAWE ALAS,7473,2030,9503
1,ACEH,2,ACEH SELATAN,47,LABUHAN HAJI,0,0,0
1,ACEH,269,ACEH TENGGARA,467,LAWE BULAN,6165,2590,8755
1,ACEH,269,ACEH TENGGARA,564,KETAMBE,3705,2347,6052
1,ACEH,2,ACEH SELATAN,9,KLUET UTARA,5194,5108,10302
1,ACEH,269,ACEH TENGGARA,632,TANOH ALAS,1398,881,2279
1,ACEH,269,ACEH TENGGARA,613,LAWE SUMUR,0,0,0
1,ACEH,269,ACEH TENGGARA,438,DARUL HASANAH,0,0,0
1,ACEH,269,ACEH TENGGARA,335,BAMBEL,7774,2528,10302
1,ACEH,671,ACEH TIMUR,1037,IDI TUNONG,1746,1748,3494
1,ACEH,269,ACEH TENGGARA,492,BUKIT TUSAM,0,0,0
1,ACEH,269,ACEH TENGGARA,536,BABUL RAHMAH,0,0,0
1,ACEH,269,ACEH TENGGARA,397,BADAR,0,0,0
1,ACEH,269,ACEH TENGGARA,516,SEMADAM,0,0,0
1,ACEH,269,ACEH TENGGARA,647,LEUSER,0,0,0
1,ACEH,269,ACEH TENGGARA,416,BABUL MAKMUR,0,0,0
1,ACEH,671,ACEH TIMUR,1135,SUNGAI RAYA,1477,1872,3349
1,ACEH,671,ACEH TIMUR,1175,DARUL FALAH,442,1084,1526
1,ACEH,671,ACEH TIMUR,1187,IDI TIMUR,824,1153,1977
1,ACEH,269,ACEH TENGGARA,369,BABUSSALAM,0,0,0
1,ACEH,671,ACEH TIMUR,1080,PEUDAWA,1637,1673,3310
1,ACEH,671,ACEH TIMUR,1119,PEUREULAK BARAT,2282,2048,4330
1,ACEH,671,ACEH TIMUR,1023,INDRA MAKMU,4063,1733,5796
1,ACEH,671,ACEH TIMUR,1158,DARUL IHSAN,1155,1195,2350
1,ACEH,671,ACEH TIMUR,756,IDI RAYEUK,5577,5106,10683
1,ACEH,671,ACEH TIMUR,672,DARUL AMAN,2354,3297,5651
1,ACEH,671,ACEH TIMUR,1063,BANDA ALAM,960,1731,2691
1,ACEH,671,ACEH TIMUR,718,JULOK,3589,4736,8325
1,ACEH,671,ACEH TIMUR,838,NURUSSALAM,2570,3702,6272
1,ACEH,671,ACEH TIMUR,792,BIREM BAYEUN,8471,3382,11853
1,ACEH,671,ACEH TIMUR,996,MADAT,3393,3941,7334
1,ACEH,671,ACEH TIMUR,1149,SIMPANG JERNIH,1300,544,1844
1,ACEH,671,ACEH TIMUR,1201,PEUNARON,2315,1801,4116
1,ACEH,671,ACEH TIMUR,1098,PEUREULAK TIMUR,1391,2678,4069
1,ACEH,671,ACEH TIMUR,924,SIMPANG ULIM,2492,2775,5267
1,ACEH,671,ACEH TIMUR,948,RANTAU PEUREULAK,5339,3238,8577
1,ACEH,1207,ACEH TENGAH,1208,LINGE,2239,3127,5366
1,ACEH,1207,ACEH TENGAH,1420,KEBAYAKAN,3047,4750,7797
1,ACEH,671,ACEH TIMUR,972,PANTE BIDARI,2626,4052,6678
1,ACEH,1207,ACEH TENGAH,1459,CELALA,1747,3106,4853
1,ACEH,1207,ACEH TENGAH,1307,RUSIP ANTARA,1525,2194,3719
1,ACEH,671,ACEH TIMUR,870,PEUREULAK,4870,6850,11720
1,ACEH,671,ACEH TIMUR,820,SERBAJADI,1893,1267,3160
1,ACEH,671,ACEH TIMUR,909,RANTAU SELAMAT,1835,1942,3777
1,ACEH,1207,ACEH TENGAH,1440,KUTE PANANG,1463,2745,4208
1,ACEH,1207,ACEH TENGAH,1295,BIES,1865,2243,4108
1,ACEH,1207,ACEH TENGAH,1362,BINTANG,1225,4038,5263
1,ACEH,1207,ACEH TENGAH,1394,KETOL,3311,3819,7130
1,ACEH,1207,ACEH TENGAH,1386,JAGONG JEGET,3274,1968,5242
1,ACEH,1207,ACEH TENGAH,1267,BEBESEN,6936,9334,16270
1,ACEH,1207,ACEH TENGAH,1476,LAUT TAWAR,3987,5035,9022
1,ACEH,1207,ACEH TENGAH,1322,ATU LINTANG,1972,1413,3385
1,ACEH,1492,ACEH BARAT,1778,WOYLA TIMUR,1345,1281,2626
1,ACEH,1492,ACEH BARAT,1493,JOHAN PAHWALAN,13649,10052,23701
1,ACEH,1207,ACEH TENGAH,1332,PEGASING,3528,6690,10218
1,ACEH,1492,ACEH BARAT,1753,WOYLA BARAT,2425,1714,4139
1,ACEH,1492,ACEH BARAT,1700,PANTE CEUREUMEN,3245,2270,5515
1,ACEH,1492,ACEH BARAT,1621,SAMATIGA,3904,4284,8188
1,ACEH,1492,ACEH BARAT,1804,PANTON REU,1930,1100,3030
1,ACEH,1207,ACEH TENGAH,1233,SILIH NARA,4403,7420,11823
1,ACEH,1824,ACEH BESAR,2357,SIMPANG TIGA,1857,1176,3033
1,ACEH,1492,ACEH BARAT,1577,WOYLA,4000,3208,7208
1,ACEH,1492,ACEH BARAT,1515,KAWAY XVI,5921,4506,10427
1,ACEH,1492,ACEH BARAT,1672,ARONGAN LAMBALEK,2261,3316,5577
1,ACEH,1824,ACEH BESAR,2341,KUTA MALAKA,2158,1042,3200
1,ACEH,1824,ACEH BESAR,2308,KOTA COT GLIE,3272,3379,6651
1,ACEH,1492,ACEH BARAT,1654,BUBON,1732,1800,3532
1,ACEH,1492,ACEH BARAT,1726,MEUREUBO,5705,5686,11391
1,ACEH,1824,ACEH BESAR,2185,KUTA BARO,6132,5241,11373
1,ACEH,1492,ACEH BARAT,1559,SUNGAI MAS,1218,845,2063
1,ACEH,1824,ACEH BESAR,2294,KOTA JANTHO,1967,2018,3985
1,ACEH,1824,ACEH BESAR,1883,INDRAPURI,6377,3906,10283
1,ACEH,1824,ACEH BESAR,2233,DARUSSALAM,5537,3722,9259
1,ACEH,1824,ACEH BESAR,1825,LHOONG,2779,2419,5198
